PPG,HR,SPO2
56,83,97
62,83,97
65,83,97
65,83,97
65,83,97
64,83,97
60,83,97
55,83,97
51,83,97
46,83,97
42,83,97
40,83,97
38,83,97
37,83,97
37,83,97
38,83,97
39,83,97
40,83,97
40,83,97
40,83,97
39,83,97
38,83,97
36,83,97
34,83,97
32,83,97
30,83,97
29,83,97
27,83,97
26,83,97
24,83,97
23,83,97
22,83,97
22,83,97
21,83,97
21,83,97
20,83,97
20,83,97
20,83,97
20,83,97
23,83,97
27,83,97
34,83,97
40,83,97
49,83,97
56,83,97
61,83,97
63,83,97
63,83,97
60,83,97
55,83,97
51,83,97
45,83,97
40,83,97
36,83,97
33,83,97
31,83,97
30,83,97
30,83,97
31,83,97
33,83,97
34,83,97
34,83,97
34,83,97
33,83,97
33,83,97
33,83,97
30,83,97
28,83,97
28,83,97
24,83,97
23,83,97
23,83,97
20,83,97
19,83,97
19,83,97
17,83,97
17,83,97
17,83,97
17,83,97
18,83,97
20,83,97
24,83,97
30,83,97
38,83,97
45,83,97
53,83,97
59,83,97
62,83,97
63,83,97
61,83,97
58,83,97
53,83,97
48,83,97
44,83,97
40,83,97
37,83,97
35,83,97
34,83,97
34,83,97
35,83,97
37,83,97
38,83,97
38,83,97
38,83,97
37,83,97
36,83,97
34,83,97
32,83,97
30,83,97
28,83,97
26,83,97
25,83,97
23,83,97
22,83,97
21,83,97
20,83,97
20,83,97
19,83,97
19,83,97
19,83,97
21,83,97
24,83,97
29,83,97
37,83,97
44,83,97
44,83,97
44,83,97
44,83,97
66,83,97
69,83,97
68,83,97
66,83,97
62,83,97
57,83,97
53,83,97
48,83,97
45,83,97
42,83,97
40,83,97
40,83,97
40,83,97
40,83,97
40,83,97
41,83,97
41,83,97
40,83,97
40,83,97
38,83,97
36,83,97
34,83,97
32,83,97
30,83,97
28,83,97
26,83,97
24,83,97
23,83,97
22,83,97
21,83,97
20,83,97
19,83,97
19,83,97
19,83,97
20,83,97
23,83,97
28,83,97
36,83,97
44,83,97
52,83,97
59,83,97
64,83,97
66,83,97
65,83,97
62,83,97
58,83,97
53,83,97
49,83,97
44,83,97
41,83,97
39,83,97
38,83,97
37,83,97
38,83,97
38,83,97
39,83,97
40,83,97
40,83,97
40,83,97
40,83,97
38,83,97
36,83,97
34,83,97
32,83,97
30,83,97
28,83,97
26,83,97
24,83,97
22,83,97
21,83,97
19,83,97
18,83,97
18,83,97
17,83,97
16,83,97
16,83,97
16,83,97
17,83,97
21,83,97
27,83,97
35,83,97
42,83,97
51,83,97
58,83,97
62,83,97
63,83,97
62,83,97
59,83,97
54,83,97
49,83,97
44,83,97
40,83,97
36,83,97
34,83,97
32,83,97
32,83,97
33,83,97
34,83,97
36,83,97
36,83,97
36,83,97
36,83,97
36,83,97
33,83,97
31,83,97
31,83,97
26,83,97
24,83,97
24,83,97
20,83,97
19,83,97
17,83,97
16,83,97
14,83,97
13,83,97
13,83,97
12,83,97
11,83,97
11,83,97
11,83,97
13,83,97
16,83,97
22,83,97
29,83,97
38,83,97
45,83,97
52,83,97
56,83,97
58,83,97
57,83,97
54,83,97
50,83,97
45,83,97
40,83,97
36,83,97
33,83,97
31,83,97
30,83,97
30,83,97
32,83,97
33,83,97
35,83,97
36,83,97
36,83,97
36,83,97
35,83,97
33,83,97
31,83,97
29,83,97
27,83,97
25,83,97
23,83,97
22,83,97
20,83,97
19,83,97
19,83,97
18,83,97
18,83,97
18,83,97
19,83,97
20,83,97
22,83,97
26,83,97
33,83,97
40,83,97
49,83,97
57,83,97
64,83,97
68,83,97
68,83,97
66,83,97
63,83,97
58,83,97
52,83,97
47,83,97
43,83,97
40,83,97
38,83,97
37,83,97
37,83,97
37,83,97
37,83,97
37,83,97
40,83,97
40,83,97
40,83,97
40,83,97
39,83,97
37,83,97
34,83,97
32,83,97
30,83,97
27,83,97
26,83,97
24,83,97
23,83,97
22,83,97
22,83,97
22,83,97
22,83,97
22,83,97
22,83,97
22,83,97
23,83,97
27,83,97
33,83,97
40,83,97
49,83,97
58,83,97
66,83,97
72,83,97
74,83,97
73,83,97
70,83,97
66,83,97
61,83,97
56,83,97
51,83,97
47,83,97
44,83,97
43,83,97
42,83,97
42,83,97
43,83,97
44,83,97
45,83,97
45,83,97
45,83,97
44,83,97
42,83,97
40,83,97
39,83,97
37,83,97
35,83,97
32,83,97
30,83,97
29,83,97
27,83,97
26,83,97
25,83,97
25,83,97
25,83,97
25,83,97
24,83,97
24,83,97
25,83,97
25,83,97
33,83,97
40,83,97
40,83,97
58,83,97
66,83,97
66,83,97
75,83,97
74,83,97
74,83,97
67,83,97
62,83,97
56,83,97
51,83,97
47,83,97
44,83,97
42,83,97
41,83,97
41,83,97
42,83,97
43,83,97
43,83,97
43,83,97
43,83,97
42,83,97
40,83,97
39,83,97
37,83,97
35,83,97
32,83,97
30,83,97
29,83,97
27,83,97
25,83,97
24,83,97
23,83,97
22,83,97
22,83,97
22,83,97
21,83,97
21,83,97
22,83,97
25,83,97
30,83,97
38,83,97
46,83,97
55,83,97
63,83,97
69,83,97
72,83,97
71,83,97
68,83,97
64,83,97
58,83,97
53,83,97
48,83,97
48,83,97
43,83,97
40,83,97
39,83,97
38,83,97
38,83,97
38,83,97
39,83,97
40,83,97
40,83,97
40,83,97
40,83,97
39,83,97
37,83,97
35,83,97
33,83,97
31,83,97
29,83,97
28,83,97
26,83,97
25,83,97
24,83,97
24,83,97
24,83,97
23,83,97
23,83,97
23,83,97
23,83,97
24,83,97
27,83,97
33,83,97
40,83,97
47,83,97
56,83,97
64,83,97
69,83,97
71,83,97
70,83,97
67,83,97
63,83,97
57,83,97
51,83,97
46,83,97
42,83,97
40,83,97
38,83,97
38,83,97
38,83,97
40,83,97
40,83,97
41,83,97
42,83,97
42,83,97
41,83,97
40,83,97
39,83,97
37,83,97
34,83,97
32,83,97
30,83,97
28,83,97
28,84,98
28,84,98
28,84,98
24,84,98
23,84,98
23,84,98
22,84,98
22,84,98
23,84,98
25,84,98
29,84,98
36,84,98
44,84,98
53,84,98
62,84,98
68,84,98
71,84,98
72,84,98
69,84,98
64,84,98
59,84,98
53,84,98
48,84,98
43,84,98
40,84,98
37,84,98
36,84,98
36,84,98
37,84,98
39,84,98
40,84,98
40,84,98
40,84,98
40,84,98
38,84,98
36,84,98
34,84,98
32,84,98
30,84,98
28,84,98
26,84,98
24,84,98
24,84,98
22,84,98
22,84,98
22,84,98
21,84,98
21,84,98
21,84,98
21,84,98
22,84,98
22,84,98
29,84,98
37,84,98
45,84,98
55,84,98
64,84,98
72,84,98
76,84,98
77,84,98
75,84,98
75,85,98
75,85,98
65,85,98
60,85,98
54,85,98
49,85,98
45,85,98
42,85,98
41,85,98
40,85,98
41,85,98
42,85,98
43,85,98
43,85,98
43,85,98
42,85,98
41,85,98
39,85,98
37,85,98
35,85,98
33,85,98
30,85,98
28,85,98
27,85,98
25,85,98
24,85,98
23,85,98
22,85,98
22,85,98
21,85,98
21,85,98
21,85,98
21,85,98
22,85,98
26,85,98
32,85,98
40,85,98
50,85,98
60,85,98
68,85,98
73,85,98
75,85,98
74,85,98
70,85,98
65,85,98
60,85,98
54,85,98
49,85,98
45,85,98
42,85,98
40,85,98
40,85,98
40,85,98
40,85,98
41,85,98
42,85,98
42,85,98
41,85,98
40,85,98
39,85,98
37,85,98
37,85,97
35,85,97
32,85,97
30,85,97
28,85,97
26,85,97
24,85,97
23,85,97
22,85,97
21,85,97
20,85,97
20,85,97
20,85,97
20,85,97
20,85,97
20,85,97
22,85,97
26,85,97
32,85,97
40,85,97
50,85,97
59,85,97
67,85,97
72,85,97
73,85,97
72,85,97
68,85,97
62,85,97
57,85,97
51,85,97
46,85,97
42,85,97
40,85,97
39,85,97
39,85,97
40,85,97
40,85,97
42,85,97
43,85,97
43,85,97
43,85,97
42,85,97
40,85,97
39,85,97
36,85,97
34,85,97
31,85,97
29,85,97
27,85,97
25,85,97
23,85,97
22,85,97
21,85,97
21,85,97
20,85,97
20,85,97
20,85,97
21,85,97
25,85,97
31,85,97
39,85,97
39,86,97
39,86,97
39,86,97
64,86,97
69,86,97
71,86,97
71,86,97
67,86,97
62,86,97
62,86,97
50,86,97
45,86,97
45,86,97
39,86,97
37,86,97
37,86,97
38,86,97
39,86,97
39,86,97
41,86,97
41,86,97
41,86,97
40,86,97
39,86,97
36,86,97
34,86,97
31,86,97
29,86,97
27,86,97
25,86,97
24,86,97
22,86,97
22,86,97
21,86,97
21,86,97
20,86,97
20,86,97
20,86,97
20,86,97
22,86,97
25,86,97
32,86,97
40,86,97
50,86,97
60,86,97
69,86,97
76,86,97
78,86,97
77,86,97
74,86,97
69,86,97
63,86,97
57,86,97
52,86,97
47,86,97
44,86,97
42,86,97
41,86,97
41,86,97
42,86,97
43,86,97
43,86,97
43,86,97
44,86,97
44,86,97
43,86,97
41,86,97
39,86,97
37,86,97
34,86,97
32,86,97
29,86,97
28,86,97
26,86,97
25,86,97
24,86,97
23,86,97
23,86,97
23,86,97
23,86,97
22,86,97
22,86,97
23,86,97
25,86,97
30,86,97
37,86,97
46,86,97
56,86,97
66,86,97
74,86,97
78,86,97
79,86,97
77,86,97
72,86,97
67,86,97
61,86,97
55,86,97
50,86,97
46,86,97
42,86,97
40,86,97
40,86,97
40,86,97
41,86,97
43,86,97
44,86,97
44,86,97
43,86,97
42,86,97
40,86,97
38,86,97
36,86,97
34,86,97
31,86,97
30,86,97
28,86,97
26,86,97
25,86,97
25,86,97
24,86,97
23,86,97
23,86,97
23,86,97
23,86,97
22,86,97
22,86,97
23,86,97
25,86,97
29,86,97
36,86,97
45,86,97
55,86,97
65,86,97
73,86,97
77,86,97
78,86,97
76,86,97
72,86,97
66,86,97
60,86,97
55,86,97
49,86,97
45,86,97
42,86,97
41,86,97
40,86,97
41,86,97
42,86,97
43,86,97
44,86,97
44,86,97
43,86,97
41,86,97
40,86,97
38,86,97
35,86,97
32,86,97
30,86,97
28,86,97
26,86,97
24,86,97
23,86,97
22,86,97
21,86,97
20,86,97
20,86,97
19,86,97
19,86,97
19,86,97
19,86,97
20,86,97
20,86,97
31,86,97
40,86,97
40,86,97
58,86,97
66,86,97
66,86,97
71,86,97
69,86,97
65,86,97
59,86,97
53,86,97
53,85,97
53,85,97
53,85,97
39,85,97
37,85,97
36,85,97
36,85,97
38,85,97
39,85,97
40,85,97
41,85,97
41,85,97
41,85,97
40,85,97
38,85,97
35,85,97
33,85,97
30,85,97
28,85,97
26,85,97
24,85,97
22,85,97
21,85,97
21,85,97
20,85,97
20,85,97
20,85,97
20,85,97
20,85,97
21,85,97
24,85,97
28,85,97
36,85,97
44,85,97
54,85,97
64,85,97
71,85,97
75,85,97
76,85,97
73,85,97
69,85,97
63,85,97
57,85,97
40,85,97
40,85,97
42,85,97
43,85,97
44,85,97
44,85,97
43,85,97
41,85,97
40,85,97
37,85,97
35,85,97
32,85,97
30,85,97
30,85,97
27,85,97
26,85,97
24,85,97
23,85,97
22,85,97
21,85,97
21,85,97
21,85,97
20,85,97
20,85,97
20,85,97
21,85,97
23,85,97
27,85,97
35,85,97
43,85,97
54,85,97
65,85,97
75,85,97
80,85,97
82,85,97
81,85,97
77,85,97
71,85,97
65,85,97
58,85,97
53,85,97
48,85,97
44,85,97
42,85,97
42,85,97
42,85,97
43,85,97
45,85,97
46,85,97
46,85,97
45,85,97
44,85,97
41,85,97
40,85,97
37,85,97
35,85,97
32,85,97
30,85,97
28,85,97
26,85,97
25,85,97
24,85,97
23,85,97
23,85,97
22,85,97
22,85,97
21,85,97
21,85,97
21,85,97
22,85,97
24,85,97
30,85,97
38,85,97
47,85,97
47,84,97
47,84,97
47,84,97
76,84,97
80,84,97
81,84,97
78,84,97
73,84,97
67,84,97
61,84,97
61,84,97
50,84,97
45,84,97
45,84,97
41,84,97
41,84,97
41,84,97
43,84,97
44,84,97
44,84,97
44,84,97
44,84,97
42,84,97
40,84,97
39,84,97
36,84,97
34,84,97
31,84,97
29,84,97
27,84,97
25,84,97
23,84,97
22,84,97
22,84,97
22,84,97
21,84,97
21,84,97
21,84,97
21,84,97
20,84,97
20,84,97
22,84,97
26,84,97
32,84,97
41,84,97
51,84,97
61,84,97
70,84,97
76,84,97
78,84,97
76,84,97
72,84,97
66,84,97
60,84,97
54,84,97
48,84,97
43,84,97
40,84,97
39,84,97
38,84,97
39,84,97
39,84,97
39,84,97
41,84,97
42,84,97
42,84,97
42,84,97
41,84,97
39,84,97
37,84,97
35,84,97
32,84,97
29,84,97
27,84,97
25,84,97
24,84,97
22,84,97
21,84,97
21,84,97
21,84,97
21,84,97
21,84,97
21,84,97
22,84,97
23,84,97
27,84,97
33,84,97
40,84,97
49,84,97
